creche_id_nature;nom;nature;agr;type;ag_cible;date_ouverture;nb_sections;horaire_ouverture;horaire_fermeture;adresse;code_postal;ville;telephone;email;societe;departement;region;siret;enseigne;enseigne_slug;geo_lat;geo_lng;espace_exterieur;repas;lait;couches;marque_blanche;affichage_logo_enseigne
103;BRUGES;CEP;43;MAC;49;02/01/2012;0;07:30;18:30;Avenue Chaban Delmas - Plage du Lac;33049;BORDEAUX Cedex;09 53 91 76 26;bruges@lpcr.fr;LPCR GROUPE;33;;528570229;;les-petits-chaperons-rouges;44.8855019;-0.5860462000000553;True;True;True;True;False;True
109;GENNEVILLIERS;CEP;31;MAC;49;17/10/2011;0;08:00;19:00;5 ALLEE MISSAK MANOUCHIAN;92230;GENNEVILLIERS;01 41 05 76 61;gennevilliers@lpcr.fr;LPCR GROUPE;92;;528570229;;les-petits-chaperons-rouges;48.9207045;2.301696799999945;True;True;True;True;False;True
11_PART;2 Micro crèches Les Bébés Laitiers & Laitiers;PART;10;Micro-crèche;0;          ;0;08:00;19:00;9 rue des Laitières;94300;Vincennes;;;;;;;Eiduloa;eiduloa;48.84829130;2.42560750;True;True;True;False;False;True
114;LES MALICIEUX DE KARR'HIBOUX;CEP;9;MIC;9;24/10/2011;0;08:30;18:30;1 Rue Alphonse Karr;06000;NICE;04 37 46 45 24;nice@crechesetmalices.com;LPCR GROUPE;06;;528570229;;creches-et-malices;43.69859659999999;7.266137399999934;True;True;True;True;False;True
117;GARGES LES GONESSE (DSP);DSP;60;MAC;60;15/12/2011;0;07:30;19:00;12 rue du Tiers Pot;95140;GARGES LES GONESSE;01 41 05 76 60;garges.gonesse@lpcr.fr;LPCR GARGES-LES-GONESSE;95;;538686411;;;48.9652677;2.3959425000000465;True;True;True;True;False;False
120_PART;Anna'gram;PART;28;Mac;0;          ;0;08:00;20:00;10 rue Camille Pelletan;66000;Perpignan;;;;66;;;Crèches de France;creches-de-france;42.69953310;2.88817230;True;True;True;True;False;True
123;STRASBOURG;CEP;54;MAC;54;01/10/2012;0;07:30;19:00;2-4 rue de Vendenheim - 6 rue de Niederbronn;67000;STRASBOURG;03 83 22 19 03;strasbourg@lpcr.fr;LPCR GRAND EST;67;;533474094;;les-petits-chaperons-rouges;48.5917474;7.746614300000033;True;True;True;True;False;True
125_PART;L'Arche des Pitchounets;PART;20;Mac;0;          ;0;07:30;18:30;Route de Savigny;69210;Sain Bel;;;;69;;;Crèches de France;creches-de-france;45.81249280;4.59435040;True;True;True;True;False;True
1256_PART;Little Crèche Faisanderie;PART;10;Micro-crèche;0;          ;1;08:45;18:15;10 rue de la Grande-Bretagne;77300;Fontainebleau;;;;;;;LITTLE CRECHE FAISANDERIE;;48.409374;2.689223;True;True;True;True;False;True
1266_PART;Sweet Môme;PART;28;MAC;0;          ;3;07:30;19:00;74D rue de Paris;35000;Rennes;;;;35;;;MUTUALITE ENFANCE FAMILLE;;48.11302730000001;-1.6609611000000086;False;True;True;True;False;True
1272_PART;Schwabing;PART;24;MAC;0;01/01/2012;2;08:00;17:30;Klopstockstraße 4;80804;Munich;;;;;;;INFANTERIX;;48.17604499999999;11.579267999999956;True;True;False;True;False;True
1277_PART;Westpark;PART;24;MAC;0;01/09/2015;2;08:00;17:30;Heiterwanger Str. 36;81379;Munich;;;;;;;INFANTERIX;;48.12181;11.526900000000069;True;False;False;False;False;True
